Symbol,Date,Eps,Revenue
ACIC,2024-12-31,0.1,79.267
ACIC,2024-09-30,0.59,82.136
ACIC,2024-06-30,0.4,68.656
ACIC,2024-03-31,0.5,73.204
ACIC,2023-12-31,0.32,58.214
ACIC,2023-09-30,0.24,58.714
ACIC,2023-06-30,0.42,79.295
ACIC,2023-03-31,6.05,104.047
ACIC,2022-12-31,-6.84,113.475
ACIC,2022-09-30,-1.65,123.788
ACIC,2022-06-30,-1.6,115.793
ACIC,2022-03-31,-0.77,102.366
ACIC,2021-12-31,-0.05,154.544
ACIC,2021-09-30,-0.33,162.74
ACIC,2021-06-30,-0.55,155.454
ACIC,2021-03-31,-0.41,161.789
ACIC,2020-12-31,-0.79,241.222
ACIC,2020-09-30,-1.73,212.733
ACIC,2020-06-30,0.57,216.397
ACIC,2020-03-31,-0.3,176.304
ACIC,2019-12-31,-0.19,210.421
ACIC,2019-09-30,-0.66,207.598
ACIC,2019-06-30,-0.07,204.776
ACIC,2019-03-31,0.22,202.321
ACIC,2018-12-31,-0.26,181.089
ACIC,2018-09-30,-0.27,187.652
ACIC,2018-06-30,0.34,183.148
ACIC,2018-03-31,0.2,180.127
