Symbol,Screeners,Price_Increase_Percentage,NumberOfSpikes,RSI_Against_Market_3m,Volume-Acceleration(%)
CPIX,4,591.3461538461538,2,94.73596816503886,197.95
CYD,4,239.84375000000006,1,86.75965266300398,347.94
DAO,4,313.28671328671334,1,95.15499714512553,64.25
ORGO,4,210.64814814814815,1,66.3256731279921,106.11
TUYA,4,261.71874999999994,1,77.09255192611185,278.05
WGS,4,1397.4093264248704,1,94.22250957832846,105.55
COMP,3,254.67128027681656,1,69.68099983021443,
CURI,3,566.6666666666666,1,83.93801746396989,
DBVT,3,1131.8181818181818,1,77.39900937735715,
DMAC,3,218.6915887850467,1,73.97289954952859,
DOCS,3,271.1236933797909,1,74.1800653927575,
IBIO,3,556.1904761904761,1,78.72585913161882,
TMQ,3,604.0,1,81.14407964133918,
GRRR,3,1830.6220095693784,,92.24179003851913,184.32
INOD,3,1200.3663003663005,,69.73962700809719,102.18
JYD,3,1092.857142857143,,59.56275980531528,234.99
KC,3,1001.980198019802,,74.31786617949702,70.86
AZ,3,872.9411764705883,,93.74285347278608,61.76
ETON,3,507.5907590759076,,86.71069840397737,105.12
JVA,3,486.9565217391305,,69.1382871487848,99.58
HSAI,3,473.29545454545456,,70.09738644977021,119.34
BABX,3,279.4936708860759,,63.22077906128324,257.93
ALHC,3,264.3497757847534,,91.81129283656749,50.83
BMTX,3,255.86206896551724,,87.6489064408263,111.30
XNET,3,231.0344827586207,,68.02011007140376,395.01
AKRO,3,226.98768197088467,,58.706750048651,80.20
SOC,3,219.78239366963402,,87.24198550499199,63.53
MTTR,3,215.60693641618496,,59.33428144705133,74.95
COMM,2,736.0465116279071,,88.46642928164049,
CMRX,2,637.3333333333334,,87.40977043933039,
LX,2,544.9664429530201,,83.87294530885383,
VRNA,2,518.0860403863038,,92.91782544287346,
API,2,323.6363636363636,,79.93068327564704,
TBRG,2,319.4701986754967,,91.58363740448924,
ROOT,2,319.27144535840193,,90.45598228449686,
MYTE,2,299.3610223642173,,95.57247763593972,
RIGL,2,298.66310160427804,,69.26374592419796,
ADPT,2,292.5438596491228,,91.30788163935935,
AHG,2,291.6666666666667,,75.7478251027523,
AREN,2,289.2857142857143,,71.95025420132224,
VIOT,2,288.0,,67.23768137520872,
INSM,2,287.3631386861313,,77.57775133966102,
AXGN,2,278.3783783783784,,65.9670954997526,
TPL,2,264.6972545293036,,68.9885616072447,
SSY,2,260.37735849056605,,90.46967130473604,
SARK,2,258.6281588447653,,87.58385534879224,
XPEV,2,248.0916030534351,,69.50747827188425,
CRS,2,241.30990415335464,,67.87237945764724,
GL,2,239.86032074495603,,91.91748679795231,
GDTC,2,237.5,,70.45530417050664,
PLX,2,236.58536585365852,,63.91782082877776,
EXFY,2,233.06451612903226,,85.04380013391611,
BROS,2,223.57541899441338,,75.08491972238214,
GH,2,221.88488298545224,,69.17612345059727,
ASM,2,212.0,,94.14769596443391,
